Rtotal	Subcritica	Critica	Supercritica
0.052500	21	0	0
0.042500	17	0	0
0.042500	3	14	0
0.005000	2	0	0
0.005000	2	0	0
0.017500	7	0	0
0.000000	0	0	0
0.002500	1	0	0
0.002500	1	0	0
0.282500	113	0	0
0.000000	0	0	0
0.092500	37	0	0
0.002500	1	0	0
0.025000	10	0	0
0.000000	0	0	0
0.000000	0	0	0
0.020000	8	0	0
0.000000	0	0	0
0.007500	3	0	0
0.037500	15	0	0
0.090000	36	0	0
0.007500	3	0	0
0.015000	6	0	0
0.042500	17	0	0
0.002500	1	0	0
0.050000	20	0	0
0.012500	5	0	0
0.045000	18	0	0
0.017500	7	0	0
0.012500	5	0	0
0.092500	37	0	0
0.007500	3	0	0
0.002500	1	0	0
0.137500	55	0	0
0.045000	18	0	0
0.067500	27	0	0
0.002500	1	0	0
0.000000	0	0	0
0.005000	2	0	0
0.025000	10	0	0
0.000000	0	0	0
0.090000	36	0	0
0.007500	3	0	0
0.000000	0	0	0
0.022500	9	0	0
0.005000	2	0	0
0.002500	1	0	0
0.000000	0	0	0
0.000000	0	0	0
0.040000	16	0	0
0.075000	30	0	0
0.010000	4	0	0
0.002500	1	0	0
0.030000	12	0	0
0.000000	0	0	0
0.145000	58	0	0
0.002500	1	0	0
0.080000	32	0	0
0.005000	2	0	0
0.035000	14	0	0
0.005000	2	0	0
0.082500	33	0	0
0.007500	3	0	0
0.015000	6	0	0
0.020000	8	0	0
0.000000	0	0	0
0.000000	0	0	0
0.015000	6	0	0
0.025000	10	0	0
0.032500	13	0	0
0.000000	0	0	0
0.000000	0	0	0
0.010000	4	0	0
0.080000	32	0	0
0.092500	37	0	0
0.030000	12	0	0
0.000000	0	0	0
0.007500	3	0	0
0.000000	0	0	0
0.097500	39	0	0
0.007500	3	0	0
0.180000	72	0	0
0.000000	0	0	0
0.015000	6	0	0
0.012500	5	0	0
0.032500	13	0	0
0.015000	6	0	0
0.005000	2	0	0
0.997500	9	0	390
0.022500	9	0	0
0.997500	36	0	363
0.525000	12	198	0
0.030000	12	0	0
0.000000	0	0	0
0.080000	32	0	0
0.002500	1	0	0
0.122500	49	0	0
0.007500	3	0	0
0.037500	15	0	0
0.215000	86	0	0
0.992500	36	0	361
0.012500	5	0	0
0.032500	13	0	0
0.062500	25	0	0
0.002500	1	0	0
0.037500	15	0	0
0.002500	1	0	0
0.290000	116	0	0
0.117500	47	0	0
0.002500	1	0	0
0.317500	127	0	0
0.010000	4	0	0
0.000000	0	0	0
0.000000	0	0	0
0.017500	7	0	0
0.005000	2	0	0
0.002500	1	0	0
0.000000	0	0	0
0.000000	0	0	0
0.005000	2	0	0
0.030000	12	0	0
0.027500	11	0	0
0.005000	2	0	0
0.085000	34	0	0
0.002500	1	0	0
0.032500	13	0	0
0.055000	22	0	0
0.000000	0	0	0
0.070000	28	0	0
0.052500	21	0	0
0.017500	7	0	0
0.047500	19	0	0
0.140000	56	0	0
0.007500	3	0	0
0.000000	0	0	0
0.025000	10	0	0
0.242500	97	0	0
0.007500	3	0	0
0.020000	8	0	0
0.002500	1	0	0
0.045000	18	0	0
0.020000	8	0	0
0.000000	0	0	0
0.000000	0	0	0
0.000000	0	0	0
0.117500	47	0	0
0.067500	27	0	0
0.007500	3	0	0
0.007500	3	0	0
0.022500	9	0	0
0.120000	48	0	0
0.005000	2	0	0
0.007500	3	0	0
0.015000	6	0	0
0.002500	1	0	0
0.020000	8	0	0
0.022500	9	0	0
0.047500	19	0	0
0.000000	0	0	0
0.030000	12	0	0
0.075000	30	0	0
0.005000	2	0	0
0.040000	16	0	0
0.005000	2	0	0
0.057500	23	0	0
0.157500	63	0	0
0.000000	0	0	0
0.005000	2	0	0
0.002500	1	0	0
0.025000	10	0	0
0.332500	133	0	0
0.002500	1	0	0
0.015000	6	0	0
0.022500	9	0	0
0.092500	37	0	0
0.302500	121	0	0
0.037500	15	0	0
0.002500	1	0	0
0.007500	3	0	0
0.102500	41	0	0
0.045000	18	0	0
0.000000	0	0	0
0.002500	1	0	0
0.007500	3	0	0
0.000000	0	0	0
0.000000	0	0	0
0.017500	7	0	0
0.005000	2	0	0
0.065000	26	0	0
0.037500	15	0	0
0.082500	33	0	0
0.052500	21	0	0
0.005000	2	0	0
